category,label,language,keyword,priority,usage
product,heavyweight / boxy T-shirt,en,heavyweight tee,5,Product match
product,heavyweight / boxy T-shirt,en,heavyweight t-shirt,5,Product match
product,heavyweight / boxy T-shirt,en,boxy tee,5,Product match
product,heavyweight / boxy T-shirt,en,oversized tee,5,Product match
product,heavyweight / boxy T-shirt,en,structured tee,4,Product match
product,heavyweight / boxy T-shirt,en,graphic tee,4,Product match
product,washed / garment-dyed T-shirt,en,garment dyed tee,5,Product match
product,washed / garment-dyed T-shirt,en,pigment dyed tee,5,Product match
product,washed / garment-dyed T-shirt,en,vintage wash tee,5,Product match
product,washed / garment-dyed T-shirt,en,washed t-shirt,5,Product match
product,washed / garment-dyed T-shirt,en,acid wash tee,4,Product match
product,hoodie / sweatshirt,en,streetwear hoodie,5,Product match
product,hoodie / sweatshirt,en,heavyweight hoodie,5,Product match
product,hoodie / sweatshirt,en,oversized hoodie,5,Product match
product,hoodie / sweatshirt,en,zip hoodie,5,Product match
product,hoodie / sweatshirt,en,pullover hoodie,5,Product match
product,hoodie / sweatshirt,en,crewneck sweatshirt,4,Product match
product,sweatpants / coordinated set,en,streetwear sweatpants,5,Product match
product,sweatpants / coordinated set,en,wide leg sweatpants,4,Product match
product,sweatpants / coordinated set,en,jogger set,4,Product match
product,sweatpants / coordinated set,en,hoodie set,4,Product match
product,sweatpants / coordinated set,en,coordinated set,4,Product match
product,polo / rugby shirt,en,knit polo,3,Product match
product,polo / rugby shirt,en,rugby shirt,3,Product match
garment,development model,en,private label garment,5,Customer fit
garment,development model,en,cut and sew,5,Customer fit
garment,development model,en,custom clothing,4,Customer fit
garment,development model,en,small batch clothing,4,Customer fit
buyer,buyer type,en,streetwear brand,5,Lead discovery
buyer,buyer type,en,independent clothing brand,5,Lead discovery
buyer,buyer type,en,premium basics brand,5,Lead discovery
buyer,buyer type,en,cut and sew brand,5,Lead discovery
buyer,decision maker,en,brand founder,5,High-value contact
buyer,decision maker,en,brand owner,5,High-value contact
buyer,decision maker,en,creative director,5,High-value contact
buyer,decision maker,en,fashion designer,5,High-value contact
buyer,decision maker,en,production manager,4,High-value contact
buyer,decision maker,en,sourcing manager,4,High-value contact
buyer,decision maker,en,product developer,4,High-value contact
intent,development intent,en,garment development,5,Buying signal
intent,development intent,en,private label,5,Buying signal
intent,development intent,en,sample development,5,Buying signal
intent,development intent,en,tech pack,5,Buying signal
intent,development intent,en,fit sample,5,Buying signal
intent,development intent,en,size spec,4,Buying signal
intent,development intent,en,custom labels,4,Buying signal
intent,development intent,en,bulk order,5,Buying signal
recent,recent activity,en,new arrivals,4,Recent drop
recent,recent activity,en,latest drop,5,Recent drop
recent,recent activity,en,new release,5,Recent drop
recent,recent activity,en,preorder,4,Recent drop
recent,recent activity,en,back in stock,4,Recent activity
quality,positive signal,en,official contact page plus current product page,5,Quality signal
quality,positive signal,en,public email on official brand website,5,Quality signal
quality,positive signal,en,target-market physical address or country proof,4,Quality signal
quality,positive signal,en,founder owner designer production or sourcing contact,4,Quality signal
quality,bounce rule,en,role inbox requires product evidence and activity signal,5,Email quality rule
quality,bounce rule,en,free-mail address requires official-site proof,5,Email quality rule
quality,sending rule,en,real email sending remains disabled until operator approval,5,Sending rule
quality,sending rule,en,stop on first QQ SMTP 550,5,Sending rule
quality,sending rule,en,use at least sixty seconds between messages,4,Sending rule
exclude,bad source,en,marketplace resale directory coupon or preowned store,5,Reject
exclude,bad source,en,web design law health tourism SaaS or software site,5,Reject
exclude,bad source,en,blank apparel printer embroidery service or supplier,5,Reject
exclude,bad email,en,privacy legal gdpr abuse noreply no-reply shopify system mailbox,5,Reject
exclude,bad email,en,search snippet email not present on official website,5,Reject
exclude,bad email,en,email domain mismatch with official website,5,Reject
exclude,region,en,unknown country or non-target-market proof,4,Reject
